"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1";"JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal";1;"Conn_01x04_Pin";;;
2;"IC1";"APDS9999";1;"APDS-9999";;;
3;"R3,R5,R4";"R_0402_1005Metric";3;"10k";;;
4;"D1";"LED_1206_3216Metric";1;"2.8V WHITE";;;
5;"R2";"R_0402_1005Metric";1;"100";;;
6;"C2,C1";"C_0402_1005Metric";2;"4u7";;;
7;"R1";"R_0402_1005Metric";1;"7.7";;;
